month,month_name,origin_state_abbr,operating_airline,origin_airport,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,AK,AA,ANC,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,9.0,90.0,78.0,0.2857142857142857,0.2857142857142857,0.0,12.857142857142858,1.2857142857142858,11.142857142857142
1,January,AK,AS,ANC,961.0,101.0,506.0,372.0,234.0,164.0,86.0,27.0,354.0,241.0,160.0,82.0,30.0,15867.0,16339.0,15602.0,0.368366285119667,0.3870967741935484,0.10509885535900104,17.002081165452655,16.51092611862643,16.235171696149845
1,January,AK,AS,JNU,334.0,15.0,173.0,125.0,91.0,63.0,34.0,16.0,146.0,99.0,74.0,44.0,17.0,7541.0,8328.0,8047.0,0.437125748502994,0.37425149700598803,0.04491017964071856,24.934131736526947,22.577844311377245,24.092814371257486
1,January,AK,DL,ANC,123.0,0.0,80.0,47.0,22.0,17.0,12.0,5.0,43.0,24.0,18.0,13.0,6.0,3432.0,3539.0,3407.0,0.34959349593495936,0.3821138211382114,0.0,28.772357723577237,27.902439024390244,27.69918699186992
1,January,AK,UA,ANC,39.0,1.0,21.0,19.0,12.0,9.0,4.0,1.0,17.0,9.0,7.0,3.0,1.0,772.0,621.0,562.0,0.4358974358974359,0.48717948717948717,0.02564102564102564,15.923076923076923,19.794871794871796,14.41025641025641
1,January,AL,9E,BHM,105.0,7.0,69.0,30.0,24.0,19.0,11.0,6.0,29.0,21.0,14.0,10.0,4.0,1843.0,1532.0,1494.0,0.2761904761904762,0.2857142857142857,0.06666666666666667,14.59047619047619,17.552380952380954,14.228571428571428
1,January,AL,9E,HSV,119.0,6.0,70.0,40.0,23.0,16.0,11.0,6.0,43.0,26.0,22.0,11.0,6.0,1957.0,2157.0,2050.0,0.36134453781512604,0.33613445378151263,0.05042016806722689,18.126050420168067,16.445378151260503,17.22689075630252
1,January,AL,AA,BHM,62.0,1.0,30.0,22.0,16.0,12.0,12.0,7.0,31.0,21.0,16.0,11.0,7.0,1715.0,1982.0,1900.0,0.5,0.3548387096774194,0.016129032258064516,31.967741935483872,27.661290322580644,30.64516129032258
1,January,AL,DL,BHM,217.0,1.0,173.0,45.0,30.0,27.0,20.0,12.0,43.0,29.0,27.0,16.0,8.0,4897.0,4180.0,4104.0,0.19815668202764977,0.2073732718894009,0.004608294930875576,19.262672811059907,22.566820276497698,18.912442396313363
1,January,AL,DL,HSV,94.0,2.0,70.0,24.0,13.0,8.0,5.0,2.0,22.0,13.0,7.0,5.0,3.0,863.0,853.0,794.0,0.23404255319148937,0.2553191489361702,0.02127659574468085,9.074468085106384,9.180851063829786,8.446808510638299
