month,month_name,origin_state_abbr,operating_airline,primary_delay_cause,flights,delayed_flights,sum_arrival_delay_min,sum_total_delay_min,delay_rate,avg_arrival_delay_min,avg_total_delay_min
1,January,AK,AA,NAS,1.0,1.0,78.0,78.0,1.0,78.0,78.0
1,January,AK,AA,No Delay,6.0,0.0,12.0,0.0,0.0,2.0,0.0
1,January,AK,AS,Carrier,113.0,112.0,9513.0,9513.0,0.9911504424778761,84.1858407079646,84.1858407079646
1,January,AK,AS,Late Aircraft,279.0,276.0,18889.0,18889.0,0.989247311827957,67.70250896057348,67.70250896057348
1,January,AK,AS,NAS,120.0,113.0,4890.0,4890.0,0.9416666666666667,40.75,40.75
1,January,AK,AS,No Delay,1678.0,0.0,1596.0,0.0,0.0,0.9511323003575686,0.0
1,January,AK,AS,Security,8.0,8.0,262.0,262.0,1.0,32.75,32.75
1,January,AK,AS,Weather,35.0,35.0,3526.0,3526.0,1.0,100.74285714285715,100.74285714285715
1,January,AK,DL,Carrier,9.0,9.0,1408.0,1408.0,1.0,156.44444444444446,156.44444444444446
1,January,AK,DL,Late Aircraft,8.0,8.0,1283.0,1283.0,1.0,160.375,160.375
1,January,AK,DL,NAS,12.0,12.0,485.0,485.0,1.0,40.416666666666664,40.416666666666664
1,January,AK,DL,No Delay,123.0,0.0,148.0,0.0,0.0,1.2032520325203253,0.0
1,January,AK,DL,Weather,2.0,2.0,591.0,591.0,1.0,295.5,295.5
1,January,AK,UA,Carrier,4.0,4.0,191.0,191.0,1.0,47.75,47.75
1,January,AK,UA,Late Aircraft,3.0,3.0,285.0,285.0,1.0,95.0,95.0
1,January,AK,UA,NAS,2.0,2.0,86.0,86.0,1.0,43.0,43.0
1,January,AK,UA,No Delay,30.0,0.0,59.0,0.0,0.0,1.9666666666666666,0.0
1,January,AL,9E,Carrier,17.0,17.0,2069.0,2069.0,1.0,121.70588235294117,121.70588235294117
1,January,AL,9E,Late Aircraft,43.0,42.0,4318.0,4318.0,0.9767441860465116,100.4186046511628,100.4186046511628
1,January,AL,9E,NAS,26.0,24.0,1068.0,1068.0,0.9230769230769231,41.07692307692308,41.07692307692308
1,January,AL,9E,No Delay,276.0,0.0,270.0,0.0,0.0,0.9782608695652174,0.0
1,January,AL,9E,Weather,3.0,3.0,296.0,296.0,1.0,98.66666666666667,98.66666666666667
1,January,AL,AA,Carrier,1.0,1.0,23.0,23.0,1.0,23.0,23.0
1,January,AL,AA,Late Aircraft,12.0,12.0,1565.0,1565.0,1.0,130.41666666666666,130.41666666666666
1,January,AL,AA,NAS,7.0,7.0,224.0,224.0,1.0,32.0,32.0
1,January,AL,AA,No Delay,41.0,0.0,82.0,0.0,0.0,2.0,0.0
1,January,AL,AA,Weather,1.0,1.0,88.0,88.0,1.0,88.0,88.0
1,January,AL,DL,Carrier,10.0,10.0,1849.0,1849.0,1.0,184.9,184.9
1,January,AL,DL,Late Aircraft,13.0,12.0,922.0,922.0,0.9230769230769231,70.92307692307692,70.92307692307692
1,January,AL,DL,NAS,10.0,9.0,684.0,684.0,0.9,68.4,68.4
1,January,AL,DL,No Delay,297.0,0.0,151.0,0.0,0.0,0.5084175084175084,0.0
1,January,AL,DL,Weather,12.0,12.0,2426.0,2426.0,1.0,202.16666666666666,202.16666666666666
1,January,AL,MQ,Carrier,26.0,24.0,1226.0,1226.0,0.9230769230769231,47.15384615384615,47.15384615384615
1,January,AL,MQ,Late Aircraft,53.0,51.0,4413.0,4413.0,0.9622641509433962,83.26415094339623,83.26415094339623
1,January,AL,MQ,NAS,17.0,17.0,881.0,881.0,1.0,51.8235294117647,51.8235294117647
1,January,AL,MQ,No Delay,301.0,0.0,481.0,0.0,0.0,1.5980066445182723,0.0
1,January,AL,MQ,Weather,10.0,10.0,1378.0,1378.0,1.0,137.8,137.8
1,January,AL,OH,Carrier,28.0,28.0,3787.0,3787.0,1.0,135.25,135.25
1,January,AL,OH,Late Aircraft,59.0,58.0,6170.0,6170.0,0.9830508474576272,104.57627118644068,104.57627118644068
1,January,AL,OH,NAS,26.0,25.0,973.0,973.0,0.9615384615384616,37.42307692307692,37.42307692307692
1,January,AL,OH,No Delay,423.0,0.0,482.0,0.0,0.0,1.1394799054373523,0.0
1,January,AL,OH,Weather,8.0,8.0,1183.0,1183.0,1.0,147.875,147.875
1,January,AL,OO,Carrier,27.0,27.0,4163.0,4163.0,1.0,154.1851851851852,154.1851851851852
1,January,AL,OO,Late Aircraft,13.0,13.0,2237.0,2237.0,1.0,172.07692307692307,172.07692307692307
1,January,AL,OO,NAS,10.0,10.0,546.0,546.0,1.0,54.6,54.6
1,January,AL,OO,No Delay,230.0,0.0,288.0,0.0,0.0,1.2521739130434784,0.0
1,January,AL,OO,Weather,7.0,7.0,742.0,742.0,1.0,106.0,106.0
1,January,AL,UA,No Delay,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,January,AL,WN,Carrier,14.0,14.0,933.0,933.0,1.0,66.64285714285714,66.64285714285714
1,January,AL,WN,Late Aircraft,41.0,40.0,2084.0,2084.0,0.975609756097561,50.829268292682926,50.829268292682926
1,January,AL,WN,NAS,26.0,24.0,986.0,986.0,0.9230769230769231,37.92307692307692,37.92307692307692
1,January,AL,WN,No Delay,258.0,0.0,379.0,0.0,0.0,1.4689922480620154,0.0
1,January,AL,YX,Carrier,5.0,5.0,303.0,303.0,1.0,60.6,60.6
1,January,AL,YX,Late Aircraft,4.0,3.0,218.0,218.0,0.75,54.5,54.5
1,January,AL,YX,NAS,2.0,2.0,76.0,76.0,1.0,38.0,38.0
1,January,AL,YX,No Delay,64.0,0.0,36.0,0.0,0.0,0.5625,0.0
1,January,AL,YX,Weather,2.0,2.0,224.0,224.0,1.0,112.0,112.0
1,January,AR,9E,Carrier,2.0,2.0,165.0,165.0,1.0,82.5,82.5
1,January,AR,9E,Late Aircraft,24.0,24.0,2735.0,2735.0,1.0,113.95833333333333,113.95833333333333
1,January,AR,9E,NAS,10.0,9.0,290.0,290.0,0.9,29.0,29.0
1,January,AR,9E,No Delay,107.0,0.0,180.0,0.0,0.0,1.6822429906542056,0.0
1,January,AR,9E,Weather,1.0,1.0,197.0,197.0,1.0,197.0,197.0
1,January,AR,AA,Carrier,2.0,2.0,48.0,48.0,1.0,24.0,24.0
1,January,AR,AA,Late Aircraft,29.0,29.0,2821.0,2821.0,1.0,97.27586206896552,97.27586206896552
1,January,AR,AA,NAS,15.0,15.0,917.0,917.0,1.0,61.13333333333333,61.13333333333333
1,January,AR,AA,No Delay,71.0,0.0,161.0,0.0,0.0,2.267605633802817,0.0
1,January,AR,AA,Security,3.0,3.0,125.0,125.0,1.0,41.666666666666664,41.666666666666664
1,January,AR,AA,Weather,7.0,7.0,367.0,367.0,1.0,52.42857142857143,52.42857142857143
1,January,AR,DL,Carrier,3.0,3.0,182.0,182.0,1.0,60.666666666666664,60.666666666666664
1,January,AR,DL,Late Aircraft,11.0,11.0,674.0,674.0,1.0,61.27272727272727,61.27272727272727
1,January,AR,DL,NAS,13.0,12.0,329.0,329.0,0.9230769230769231,25.307692307692307,25.307692307692307
1,January,AR,DL,No Delay,115.0,0.0,115.0,0.0,0.0,1.0,0.0
1,January,AR,DL,Weather,6.0,6.0,697.0,697.0,1.0,116.16666666666667,116.16666666666667
1,January,AR,F9,Late Aircraft,1.0,1.0,30.0,30.0,1.0,30.0,30.0
1,January,AR,F9,No Delay,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1,January,AR,G4,Carrier,4.0,4.0,1433.0,1433.0,1.0,358.25,358.25
1,January,AR,G4,Late Aircraft,5.0,5.0,381.0,381.0,1.0,76.2,76.2
